uuid,vin,make,model,mileage,year,price,zipCode,createdAt,updatedAt
23ac05f2-094b-4d00-baa6-7b834eea619a,3C4PDDEG1CT071960,Mazda,MX-5,1251,2006,$54888.93,,2/28/2019,2/24/2019
4e0f409c-2bdf-4ba7-a36c-1e1698bd5d68,1G6DE8EY4B0423976,Mercedes-Benz,SLR McLaren,77932,2007,$42754.38,,1/4/2020,9/13/2019
3cc8b944-37be-43b2-b507-cf6f966ec7a3,WA1EV94L17D483284,Mercury,Milan,31243,2007,$82673.09,103 16,9/18/2019,10/14/2019
f8a23346-490b-4223-ac3c-e9e012fb9dd9,1GKMCAE32AR518291,GMC,Savana 3500,43727,2012,$97588.91,8010,7/1/2019,9/9/2019
fa97d2b3-c9e8-4443-bac3-cd4c7cf1d8f0,WDDPK4HA8CF060581,Mazda,Mazda6,15811,2011,$84332.94,,2/1/2020,10/11/2019
b05c6c12-8b9e-49d4-b1ca-d1fc639b5911,WAUSFAFL7AA971486,Nissan,Xterra,81432,2000,$54509.77,69500-000,1/29/2020,10/6/2019
52137723-8e8a-4318-9f76-ea24cedbb4e5,SCFEFBAC4AG085864,Dodge,Ram Van 2500,89406,2002,$34623.76,,7/11/2019,3/16/2019
8008e6c5-6850-4204-90f0-6e1e51936710,WDDPK4HA9FF191765,Cadillac,Escalade EXT,9327,2011,$37088.32,,8/1/2019,10/30/2019
a1068da9-607e-4aa9-9f75-b1a697c6d42b,WAURV78T39A676804,Acura,TL,53729,2001,$72970.81,,10/22/2019,1/18/2020
b0024725-f378-43ef-abc2-36be3ed45448,5UXFG8C59CL008997,Buick,Enclave,75141,2008,$46032.92,29795-000,5/25/2019,2/4/2020
3166125b-c2f6-4f22-9dd4-bd271212c8cf,KMHTC6AD5DU169966,Nissan,Maxima,50950,1990,$90426.51,,10/9/2019,11/17/2019
9580a637-40b4-4c7a-842e-723adffbc7a5,WBA3N3C51FF326397,Mitsubishi,Galant,95247,2004,$86266.56,5420,1/14/2020,8/19/2019
441912b1-1f3e-4217-9d0c-990837bddfab,3N1AB6AP4BL063527,Mazda,MX-5,65970,2006,$99719.08,58310-000,11/10/2019,10/19/2019
a560b29e-82b7-4a21-a557-451380bd07a0,3VW8S7AT5FM827431,Volvo,V70,17171,1999,$37627.97,,3/15/2019,3/21/2019
3a9fca4d-b4fe-4216-b960-bb6402700028,5XYKT3A60EG743733,Chevrolet,Equinox,32566,2009,$70485.02,7416,10/3/2019,3/25/2019
9940ad79-4e8c-4687-8e8d-cd2e638f2b2a,1G6DA8E57C0164631,Nissan,Quest,43910,1994,$10304.94,,7/16/2019,6/16/2019
11306ca6-692b-40da-8a1e-025cfbb21b89,WAUBC48H65K977959,Lexus,IS,7650,2001,$18158.39,,10/2/2019,8/14/2019
d79300e0-16a3-4d62-9b90-51367c4c83d4,WAUDH78E16A115449,Mitsubishi,Mirage,99415,1995,$36526.49,273 30,2/28/2019,3/18/2019
bbab22fd-a922-4d3c-bf5c-629093ffe193,WBAPK5C57BA207945,Toyota,Celica,28164,2002,$93581.28,735 32,7/20/2019,6/18/2019
349216bb-2b2a-4e45-ab8e-8f01dae845bd,WBAYE0C58ED754434,Ford,LTD,82014,1984,$26729.71,5667,5/2/2019,5/11/2019
c09b8b38-331f-4aad-91fd-c767e412a9f7,5TFAW5F18EX099956,Mazda,B-Series Plus,40966,2001,$33258.39,2750-015,6/2/2019,4/6/2019
cb29e6dd-6b97-4a75-8e07-7989275f8770,WBA3B9C59DJ422154,Mercury,Mountaineer,67583,2002,$83371.22,75503,8/5/2019,10/25/2019
22694978-276a-4f12-984d-e866e58f14cf,KMHEC4A40DA103520,Toyota,Camry Hybrid,89215,2011,$78941.47,,2/13/2019,6/20/2019
dbac55a6-3cbc-4310-bcce-6eed2d57d967,1FMNE1BW2AD807055,Kia,Optima,82857,2005,$24817.73,,5/9/2019,8/18/2019
44ab0f2f-c5c0-4160-b07d-6c7ddc76abc2,3D7LT2ET3BG145170,GMC,Suburban 2500,30319,1998,$16414.32,97650-000,6/26/2019,7/9/2019
eed2791d-5487-40f9-81ba-6640af242d58,1VWAH7A32DC358510,Nissan,370Z,73701,2011,$31183.99,,8/5/2019,9/10/2019
