uuid,vin,make,model,year
9f838e39-ca48-452d-bd67-e1c7434a5b95,1GYFC56239R187101,Chevrolet,Aveo,2005
2f1e203d-c55f-4c95-a433-ee5298579fca,5GAKVBED6BJ897423,Mercedes-Benz,W201,1992
74e88639-a5b9-4ad4-9762-92b527834f5d,1G6KD57YX4U129371,Ford,Escort,1996
638f048a-bada-498a-9579-ad3026c4ecb4,SCFEBBBC4AG025822,Jaguar,XJ Series,1999
82b797a9-176f-4636-8b3b-8b2ae1c2ec2e,3GTXCYEJ5AG444641,Mercedes-Benz,GL-Class,2007
f8ad222f-b876-462a-b486-025c2e17db0f,WBAYE4C50FD809533,Honda,S2000,2004
0f6756df-6f07-4af3-8a81-33b717406669,WD3PE7DC7F5449887,Dodge,Caliber,2009
1a9a797a-f835-4f2d-b73a-c5228a5eaf0b,WAUDH48H09K553368,Volvo,S40,2006
e9766443-a043-41e3-a8e3-0bab3c59bcbc,WAULD64B62N068080,Geo,Metro,1994
6e528689-8b48-4763-b650-5bf5864d21c6,YV426MDA6F2234901,Chevrolet,Malibu,2006
399c0bae-a70b-44ab-98cc-510befaae6f7,1FAHP3CN6AW391571,Chrysler,300,2007
b67ff616-8ea8-4861-b5bd-2181f31dd45a,1GYUCHEF6AR686296,Volkswagen,Jetta III,1993
841b689a-70ae-4896-b05d-201b5e0a03ff,WAUAF78E87A024723,Subaru,Forester,2006
4542e57a-dd32-4173-9de9-506bf4e1151e,1D7RB1GP0AS311031,GMC,Yukon XL 2500,2004
438ba9fb-41ff-4194-a8bc-479267f26a3d,1FTWX3A57AE433138,Maybach,57,2006
cf24a3dc-47de-45bd-bac5-47ec87c1c72d,WVWED7AJ3CW252675,Dodge,Ram 3500,1999
ff9849bb-d91a-4253-bcbd-ba15ab498adb,2G4WC582691260033,Toyota,T100,1993
4c7777fd-9f1b-46d7-9861-298997a3f88b,1N6AD0CU9CN668018,Lincoln,Navigator,2011
eb966b39-c894-4479-a0b4-8ee5806be315,19VDE1F76FE475366,Volkswagen,Jetta,1989
bd6c17db-465b-4e26-8995-5229895f69b6,WA1AY94L57D005231,Lincoln,Continental,1999
edec69ff-3cea-485d-89d3-dd0bb5000458,JN8AZ2KRXCT963612,Chevrolet,S10,2003
39aeb37a-46a5-45f4-8b9f-3b23b37ebdae,KMHFH4JG2FA402641,Mercury,Grand Marquis,2003
567e1c88-755d-4aa6-baa5-4998ff6dd829,1FTEX1CM1BK953942,Chevrolet,Tracker,2002
521e6d9b-ceb7-49c8-b847-364f688e2d4c,5J6TF1H31EL515489,Chevrolet,Express 2500,2001
d4bff15c-8f8c-4396-8f16-3823aa6f4fd4,1N6AA0CA4CN516081,Chevrolet,Silverado 1500,2010
f3dfcb2f-3f8c-4dcc-857e-986a3d3a2230,JA32X8HW3CU803456,Chevrolet,Avalanche 1500,2003
165d3995-eda9-4151-b7dc-55205d7828f0,JM1CW2BL6E0493995,Volkswagen,Type 2,1991
4fb7c19c-ce3c-46c2-b4eb-dd214344c8d1,WA1VMBFE1ED861044,Mitsubishi,Chariot,1994
7a698adc-3012-4521-8bb8-8a0165ed92d1,1GYS3CEF5CR464409,Ford,Econoline E350,1995
4c75ea80-8094-4b94-8cb7-31ef5d94decf,SAJWJ0EF0E8609586,Chrysler,PT Cruiser,2010
50604fe4-89d0-42da-b11f-386155df8454,1G6DC67A690011174,Chevrolet,Suburban 2500,1998
02f39c52-f788-4643-b21e-2ab88c83fbac,KNADH5A39A6651378,Chevrolet,3500,1992
0b908b05-ea5b-4785-872f-23311941377a,WBAXH5C57DD299963,Volkswagen,Cabriolet,1993
bafd745e-2e41-4953-92fc-f22ed5258325,WAUKH78E06A655981,Chrysler,Town & Country,2001
755ef48b-2a59-449c-86cd-879884ac265f,WBASP4C53BC993415,Mercury,Sable,1987
371298a0-5510-412b-9ef8-f4639aa09eb4,WUARL48H14K766137,Mercedes-Benz,S-Class,1999
da0aeff1-965a-40ee-a082-c92f0a205daf,1N6AA0ED3FN805433,Ford,Flex,2013
cc96ee32-e8c5-433f-93ef-9cc7f9bdbfe7,JTHFN2EY6A9931443,Mazda,626,1989
a88db7a2-aada-41bc-a82c-1efa1d993b8c,1G6AB5RX2F0962338,Mercury,Sable,2003
2b5cb342-8d40-4564-b61f-923658b1dd57,1G4PP5SK3F4331044,Chevrolet,Express 1500,2004
9d2c5ec2-4e8a-4c9e-98c8-1914ec2d25d4,ZHWGU5BZ3CL873943,BMW,Z8,2000
c04cc503-7470-4e17-a76f-8edaea8b34ae,WBA4C9C5XFG512849,Honda,Accord,1992
29031090-e856-4ffa-b205-537f11f6139d,1G4GB5GR5EF134349,Nissan,Armada,2009
123e1659-4714-43fe-bc94-42ada033fb9f,WAUEFBFL7BN423338,Geo,Tracker,1997
3e431714-a553-42bd-b7f0-a1fafeb4d2c2,1G6DC5EY4B0108325,Audi,A5,2008
c6b44366-e2d6-40e9-a699-a3465ef5a272,JTDKN3DU6A0459964,GMC,Envoy XL,2003
33bf7c0f-0ca6-4476-ad73-c4aef9b612a3,KNAFU5A2XD5090145,Buick,Park Avenue,2002
d5bb81c6-6392-401a-a048-ff25138ca17c,2HNYD18692H489982,Infiniti,G37,2009
a1b9ccd7-d6db-4a17-ae1a-40aeac86ae62,5J8TB4H3XGL009103,Nissan,350Z,2009
f3bc8f96-6974-4d1d-b6d6-1acf41cfa7ef,2LMDJ6JK1CB584896,Chevrolet,Lumina,2001
25205942-18dc-45c6-8816-4c5c1375cd45,ZFBCFACH6FZ990890,Audi,90,1993
e9c8c082-cfb7-4ccc-85e4-f117b7dc6fea,1FTWW3DY9AE711353,Cadillac,STS,2009
d1d377d4-2792-48ff-bbb8-7829fa400de1,1C4RJEAG8FC872401,Ford,Taurus,1995
0980f369-41e7-420a-b7ab-add047ea7f67,WBA4A9C59FD775020,Toyota,Sienna,2001
16f962b2-9c06-494b-bdee-aceab19a2c69,1FMEU5BE8AU487208,GMC,Envoy,2007
e85d1534-2e26-4758-b757-40707be222f0,1G6AK5S37F0158611,Mercedes-Benz,CL-Class,2003
